年,月,日,時,分,秒,事故類別, 縣市,市區鄉鎮,路線,公里,公尺,里程,分局,工務段,向,車道線(側)名稱, 24小時內死亡人數,2-30日內死亡人數,受傷,天候,道路照明設備(11207新增),道路類別,速限, 道路型態, 事故位置,路面狀況-路面鋪裝,路面狀況-路面狀態,路面狀況-路面缺陷,道路障礙-障礙物,道路障礙-視距,號誌-號誌種類,號誌-號誌動作,車道劃分設施-分向設施,車道劃分設施-分道設施-快車道或一般車道間,車道劃分設施-分道設施-快慢車道間,車道劃分設施-分道設施-路面邊線,事故類型及型態代碼,事故類型及型態2, 當事者順位,當事者屬(性)別, 當事者事故發生時年齡,受傷程度,保護裝備,行動電話、電腦或其他相類功能裝置名稱,當事者區分(大類別),當事者區分(類別),車輛用途,飲酒情形名稱,初步分析研判子類別-主要, 肇事逃逸(是否肇逃)
2023,1,24,16,40,33,A2,南投縣,南投市,國道3號,228,500,228.5,中分局,南投工務段,南側,交流道,0,0,1,晴,日間自然光線,國道,50,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,13,追撞,1,男,35,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,25,13,20,00,A2,南投縣,竹山鎮,國道3號,243,300,243.3,中分局,南投工務段,北側,外側,0,0,3,晴,日間自然光線,國道,40,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,47,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,27,20,30,00,A2,南投縣,南投市,國道3號,231,300,231.3,中分局,南投工務段,北側,內側,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,69,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023,1,30,13,00,00,A2,南投縣,竹山鎮,國道3號,242,500,242.5,中分局,南投工務段,南側,外側,0,0,5,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,女,64,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,3,22,10,00,A2,臺中市,沙鹿區,國道3號,180,700,180.7,中分局,大甲工務段,北側,外側,0,0,1,晴,夜間(或隧道、地下道、涵洞)無照明,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,女,28,受傷,戴安全帽或繫安全帶(使用幼童安全椅),使用免持或未有礙駕駛安全,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,5,09,43,16,A2,臺中市,清水區,國道3號,172,200,172.2,中分局,大甲工務段,北側,交流道,0,0,1,晴,日間自然光線,國道,40,直路,其他,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,13,追撞,1,女,44,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,13,10,38,00,A2,臺中市,大甲區,國道3號,160,100,160.1,中分局,大甲工務段,南側,內側,0,0,2,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,女,39,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,其他引起事故之違規或不當行為,否
2023,1,11,15,55,00,A2,臺中市,清水區,國道3號,171,300,171.3,中分局,大甲工務段,南側,爬坡,0,0,1,陰,日間自然光線,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,男,41,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,大貨車,自用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,14,07,10,00,A2,彰化縣,和美鎮,國道3號,191,0,191,中分局,大甲工務段,南側,交流道,0,0,2,晴,日間自然光線,國道,50,彎曲路及附近,環道匝道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,41,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,其他引起事故之違規或不當行為,否
2023,1,12,13,16,00,A2,臺中市,沙鹿區,國道3號,182,0,182,中分局,大甲工務段,北側,內側,0,0,1,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,17,其他,1,女,26,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,租賃車,其他,無法檢測,變換車道或方向不當,是
2023,1,23,07,54,48,A2,彰化縣,和美鎮,國道3號,190,800,190.8,中分局,大甲工務段,南側,內側,0,0,2,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,女,71,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,23,10,36,35,A2,臺中市,沙鹿區,國道3號,178,800,178.8,中分局,大甲工務段,南側,中線,0,0,1,晴,日間自然光線,國道,110,高架道路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,24,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經觀察未飲酒,其他引起事故之違規或不當行為,否
2023,1,2,01,25,23,A2,宜蘭縣,蘇澳鎮,國道5號,48,700,48.7,北分局,頭城工務段,南側,內側,0,0,1,雨,夜間(或隧道、地下道、涵洞)有照明,國道,90,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,女,32,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,其他引起事故之違規或不當行為,否
2023,1,24,17,08,00,A2,宜蘭縣,頭城鎮,國道5號,30,600,30.6,北分局,頭城工務段,北側,外側,0,0,1,陰,夜間(或隧道、地下道、涵洞)無照明,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,32,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,5,05,30,00,A2,新北市,新店區,國道3號,28,600,28.6,北分局,木柵工務段,南側,外側,0,0,1,雨,夜間(或隧道、地下道、涵洞)有照明,國道,90,隧道,快車道,柏油,濕潤,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,男,39,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,半聯結車,營業用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,5,08,05,00,A2,臺北市,文山區,國道3甲,4,900,4.9,北分局,木柵工務段,西側,內側,0,0,1,雨,日間自然光線,國道,80,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,51,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,9,17,18,43,A2,臺北市,文山區,國道3號,21,0,21,北分局,木柵工務段,南側,中線,0,0,1,晴,日間自然光線,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,45,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,12,13,02,59,A2,新北市,新店區,國道3號,27,0,27,北分局,木柵工務段,南側,外側,0,0,2,晴,日間自然光線,國道,50,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,男,54,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,半聯結車,營業用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,13,14,27,05,A2,臺北市,文山區,國道3號,21,600,21.6,北分局,木柵工務段,南側,內側,0,0,2,晴,日間自然光線,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,65,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,14,18,01,09,A2,新北市,新店區,國道3號,30,400,30.4,北分局,木柵工務段,南側,內側,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,51,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023,1,19,22,15,00,A2,臺北市,文山區,國道3甲,4,700,4.7,北分局,木柵工務段,西側,內側,0,0,2,晴,夜間(或隧道、地下道、涵洞)有照明,國道,80,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,64,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,21,22,40,00,A2,新北市,新店區,國道3號,29,600,29.6,北分局,木柵工務段,北側,內側,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,女,45,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,車輪脫落或輪胎爆裂,否
2023,1,22,08,50,00,A2,臺北市,文山區,國道3號,19,300,19.3,北分局,木柵工務段,北側,外側,0,0,4,晴,日間自然光線,國道,90,隧道,快車道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,47,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,26,07,53,00,A2,臺北市,南港區,國道3號,16,400,16.4,北分局,木柵工務段,北側,外側,0,0,1,晴,日間自然光線,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,62,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023,1,26,15,44,48,A2,臺北市,文山區,國道3號,22,200,22.2,北分局,木柵工務段,南側,中線,0,0,2,晴,夜間(或隧道、地下道、涵洞)有照明,國道,90,隧道,快車道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,26,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,22,13,55,27,A2,新北市,新店區,國道3號,31,300,31.3,北分局,木柵工務段,北側,交流道,0,0,3,晴,日間自然光線,國道,40,彎曲路及附近,環道匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,13,追撞,1,女,28,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,12,22,20,44,A2,新北市,汐止區,國道3號,13,500,13.5,北分局,木柵工務段,北側,外側,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,27,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,13,16,28,00,A2,基隆市,安樂區,國道3號,0,700,0.7,北分局,木柵工務段,北側,內側,0,0,2,晴,日間自然光線,國道,90,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,男,47,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,迴轉未依規定,否
2023,1,16,09,10,00,A2,新北市,汐止區,國道3號,8,200,8.2,北分局,木柵工務段,南側,外側,0,0,1,雨,夜間(或隧道、地下道、涵洞)有照明,國道,90,隧道,快車道,柏油,濕潤,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,32,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023,1,17,17,50,00,A2,新北市,汐止區,國道3號,12,100,12.1,北分局,木柵工務段,南側,外側,0,0,1,雨,夜間(或隧道、地下道、涵洞)有照明,國道,90,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,女,64,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,21,11,33,00,A2,新北市,汐止區,國道3號,11,500,11.5,北分局,木柵工務段,北側,交流道,0,0,2,陰,日間自然光線,國道,60,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,13,追撞,1,男,42,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),營業用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,30,18,15,02,A2,臺北市,南港區,南港連絡道線,0,600,0.6,#N/A,0,南側,外側,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,專用道路,70,高架道路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,62,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經呼氣檢測超0.80~mg/L或血液檢測超過0.16%,酒醉(後)駕駛失控,否
2023,1,1,18,13,00,A2,嘉義縣,大林鎮,國道3號,279,0,279,南分局,白河工務段,北側,交流道,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,50,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,59,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,3,07,05,00,A2,南投縣,竹山鎮,國道3號,248,900,248.9,中分局,南投工務段,北側, ,0,0,1,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,60,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,13,19,12,23,A2,雲林縣,斗六市,國道3號,263,300,263.3,中分局,南投工務段,北側,中線,0,0,3,晴,夜間(或隧道、地下道、涵洞)無照明,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,26,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,20,12,10,00,A2,雲林縣,古坑鄉,國道3號,277,0,277,南分局,白河工務段,南側,內側,0,0,4,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,男,26,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,31,16,00,39,A2,嘉義縣,大林鎮,國道3號,277,800,277.8,南分局,白河工務段,南側,中線,0,0,1,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,道路工事(程)中,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,41,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,1,13,25,19,A2,嘉義縣,竹崎鄉,國道3號,291,500,291.5,南分局,白河工務段,南側,交流道,0,0,1,陰,日間自然光線,國道,50,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,39,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,6,15,29,00,A2,臺南市,六甲區,國道3號,328,100,328.1,南分局,白河工務段,南側,中線,0,0,1,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,女,28,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,11,06,04,29,A2,臺南市,柳營區,國道3號,326,100,326.1,南分局,白河工務段,北側,外側,0,0,1,雨,夜間(或隧道、地下道、涵洞)無照明,國道,90,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,男,39,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,全聯結車,營業用,其他,經檢測無酒精反應,變換車道或方向不當,否
2023,1,22,16,25,52,A2,嘉義縣,中埔鄉,國道3號,298,0,298,南分局,白河工務段,南側,交流道,0,0,1,晴,日間自然光線,國道,40,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,53,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,22,14,45,09,A2,臺南市,官田區,國道3號,330,0,330,南分局,白河工務段,南側,交流道,0,0,2,晴,日間自然光線,國道,40,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,33,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,2,15,51,24,A2,臺南市,關廟區,國道3號,358,0,358,南分局,屏東工務段,北側,路肩,0,0,1,雨,日間自然光線,國道,90,直路,路肩、路緣,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,29,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,半聯結車,營業用,砂石車,經檢測無酒精反應,變換車道或方向不當,否
2023,1,18,10,18,11,A2,高雄市,田寮區,國道3號,368,400,368.4,南分局,屏東工務段,南側,中線,0,0,1,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,12,同向擦撞,1,女,40,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
